"created_at","id","full_text","retweet_count","favorite_count","images","name","screen_name","followers_count","verified","tweet_url"
2022-02-05 11:01:35,"1489917111443075074","#TidyTuesday - Dog breeds 🐩🐕

This week I've been trying to understand @akcdoglovers breed popularity rankings, focusing on the breeds with the most variation and their traits. I ended up with few more reasons to love #dogs

#Rstats #DataViz #ggplot2 #ggbump #ThisIsAKC https://t.co/JF5Gw92K10",13,111,"list(id = 1489917083517341696, id_str = ""1489917083517341697"", indices = list(list(start = 270, end = 293)), media_url = ""http://pbs.twimg.com/media/FK0_sYvWUAEI4tP.jpg"", media_url_https = ""https://pbs.twimg.com/media/FK0_sYvWUAEI4tP.jpg"", url = ""https://t.co/JF5Gw92K10"", display_url = ""pic.twitter.com/JF5Gw92K10"", expanded_url = ""https://twitter.com/TamayoLeiva_J/status/1489917111443075074/photo/1"", type = ""photo"", sizes = list(list(w = c(2048, 680, 150, 1200), h = c(1536, 510, 150, 900), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","Javier Tamayo-Leiva","TamayoLeiva_J",305,FALSE,"https://twitter.com/TamayoLeiva_J/status/1489917111443075074"
2022-02-01 01:18:08,"1488320731746385920","The @R4DScommunity welcomes you to week 5 of #TidyTuesday!  We're exploring dog breeds!!

📁 https://t.co/sElb4fcv3u
📰 https://t.co/EEp6maav9f

#r4ds #tidyverse #rstats #dataviz https://t.co/Z1hEuV8kvS",24,109,"list(id = 1488320715300524032, id_str = ""1488320715300524034"", indices = list(list(start = 177, end = 200)), media_url = ""http://pbs.twimg.com/media/FKeTzhtX0AIxWHo.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKeTzhtX0AIxWHo.jpg"", url = ""https://t.co/Z1hEuV8kvS"", display_url = ""pic.twitter.com/Z1hEuV8kvS"", expanded_url = ""https://twitter.com/thomas_mock/status/1488320731746385920/photo/1"", type = ""photo"", sizes = list(list(w = c(1024, 680, 150, 1024), h = c(512, 340, 150, 512), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","Tom Mock","thomas_mock",14862,FALSE,"https://twitter.com/thomas_mock/status/1488320731746385920"
2022-02-01 20:00:36,"1488603210184986630","#TidyTuesday on dog breeds - I made a bump chart with pictures for the top 10 breeds 2013 through 2020. 
Code: https://t.co/Wzzk4fj8Qr
#RStats #GGPlot2 #DataViz https://t.co/WPJCVjXJqy",12,93,"list(id = 1488603033021808640, id_str = ""1488603033021808646"", indices = list(list(start = 161, end = 184)), media_url = ""http://pbs.twimg.com/media/FKiUklLVgAYbVuw.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKiUklLVgAYbVuw.jpg"", url = ""https://t.co/WPJCVjXJqy"", display_url = ""pic.twitter.com/WPJCVjXJqy"", expanded_url = ""https://twitter.com/datasciencejenn/status/1488603210184986630/photo/1"", type = ""photo"", sizes = list(list(w = c(2048, 680, 150, 1200), h = c(1463, 486, 150, 857), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","Jenn Schilling","datasciencejenn",785,FALSE,"https://twitter.com/datasciencejenn/status/1488603210184986630"
2022-02-01 14:00:02,"1488512470377541632","#TidyTuesday W5 - Personalities of ""Pawpular"" Dog Breeds. I love using ggradar to play with scaled data. 

Which dog matches your personality? I'm probably more Husky -  vocal &amp; energetic.🐕

PS. Shout out to @kkakey_ for wrangling the data! 

#RStats 🔗: https://t.co/9BvgB5hyQE https://t.co/Ubj63Ehn3a",15,85,"list(id = 1488511309746483200, id_str = ""1488511309746483213"", indices = list(list(start = 282, end = 305)), media_url = ""http://pbs.twimg.com/media/FKhBJlWXMA0hLmb.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKhBJlWXMA0hLmb.jpg"", url = ""https://t.co/Ubj63Ehn3a"", display_url = ""pic.twitter.com/Ubj63Ehn3a"", expanded_url = ""https://twitter.com/tanya_shapiro/status/1488512470377541632/photo/1"", type = ""photo"", sizes = list(list(w = c(2048, 680, 150, 1200), h = c(1463, 486, 150, 857), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","Tanya Shapiro","tanya_shapiro",1140,FALSE,"https://twitter.com/tanya_shapiro/status/1488512470377541632"
2022-01-30 16:13:40,"1487821324575776770","#TidyTuesday Week 2 : US Bee Colonies (Catchup)

Code: https://t.co/TuwyuWHWX1

#RStats #dataviz @USDA https://t.co/eNCn9stHje",13,78,"list(id = 1487820568506376192, id_str = ""1487820568506376193"", indices = list(list(start = 103, end = 126)), media_url = ""http://pbs.twimg.com/media/FKXM7JtXoAE4vm6.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKXM7JtXoAE4vm6.jpg"", url = ""https://t.co/eNCn9stHje"", display_url = ""pic.twitter.com/eNCn9stHje"", expanded_url = ""https://twitter.com/NearandDistant/status/1487821324575776770/photo/1"", type = ""photo"", sizes = list(list(w = c(2048, 680, 150, 1200), h = c(1280, 425, 150, 750), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","Near and Distant","NearandDistant",142,FALSE,"https://twitter.com/NearandDistant/status/1487821324575776770"
2022-02-03 08:13:06,"1489149934356074500","#TidyTuesday, week 4: Board games🎲♟️

I looked into the most productive, most popular, and highest rated board game designers of all time. @ReinerKnizia definitely stands out in productivity and popularity! The 🐐?

👨‍💻 code: https://t.co/NpJvoGOeUK

#rstats #dataviz #tidyverse https://t.co/sR6dGop1R0",9,65,"list(id = 1489147904732409856, id_str = ""1489147904732409858"", indices = list(list(start = 278, end = 301)), media_url = ""http://pbs.twimg.com/media/FKqEISeXsAIxJWh.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKqEISeXsAIxJWh.jpg"", url = ""https://t.co/sR6dGop1R0"", display_url = ""pic.twitter.com/sR6dGop1R0"", expanded_url = ""https://twitter.com/jvieroe/status/1489149934356074500/photo/1"", type = ""photo"", sizes = list(list(w = c(2048, 680, 150, 1200), h = c(1596, 530, 150, 935), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","Jeppe Vierø","jvieroe",869,FALSE,"https://twitter.com/jvieroe/status/1489149934356074500"
2022-01-31 10:10:13,"1488092244678692864","#TidyTuesday submission 👉 

The best combination of board game categories &amp; mechanics 🎲♟

#dataviz #rstats #ggplot #gogame https://t.co/H0PkE6y4W9",14,60,"list(id = 1488092193764122624, id_str = ""1488092193764122629"", indices = list(list(start = 127, end = 150)), media_url = ""http://pbs.twimg.com/media/FKbD90pXoAUAvQb.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKbD90pXoAUAvQb.jpg"", url = ""https://t.co/H0PkE6y4W9"", display_url = ""pic.twitter.com/H0PkE6y4W9"", expanded_url = ""https://twitter.com/elartedeldato/status/1488092244678692864/photo/1"", type = ""photo"", sizes = list(list(w = c(2048, 680, 150, 1200), h = c(2048, 680, 150, 1200), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","El arte del dato bien contado","elartedeldato",1628,FALSE,"https://twitter.com/elartedeldato/status/1488092244678692864"
2022-02-01 21:34:13,"1488626768802201602","This week was a chance to go through the filters on ggfx again. A lot of trial and error, again, but a lot of fun!

Code: https://t.co/WoiVqk3Dad

#TidyTuesday #RStats #DataVisualization #dogs https://t.co/gMHlMZEnzP",7,54,"list(id = 1488626553491705856, id_str = ""1488626553491705856"", indices = list(list(start = 193, end = 216)), media_url = ""http://pbs.twimg.com/media/FKip9pwWUAAVlP2.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKip9pwWUAAVlP2.jpg"", url = ""https://t.co/gMHlMZEnzP"", display_url = ""pic.twitter.com/gMHlMZEnzP"", expanded_url = ""https://twitter.com/quite_grey/status/1488626768802201602/photo/1"", type = ""photo"", sizes = list(list(w = c(1536, 510, 150, 900), h = c(2048, 680, 150, 1200), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","not quite my grey","quite_grey",307,FALSE,"https://twitter.com/quite_grey/status/1488626768802201602"
2022-02-05 14:18:30,"1489966667732078593","#TidyTuesday Week 5 :  #dogsoftidyverse *

Each a Good Boy, Each a Character. 

* All 195 generated in code, 15 below. Let me know if you want to see a particular breed and I'll pull it!

Code: https://t.co/TuwyuWHWX1

#dataviz #RStats #dogsofinstagram @akcdoglovers https://t.co/T0uFlK7LVQ",7,53,"list(id = 1489964575772622848, id_str = ""1489964575772622853"", indices = list(list(start = 267, end = 290)), media_url = ""http://pbs.twimg.com/media/FK1q4zLXwAUJ7Nc.jpg"", media_url_https = ""https://pbs.twimg.com/media/FK1q4zLXwAUJ7Nc.jpg"", url = ""https://t.co/T0uFlK7LVQ"", display_url = ""pic.twitter.com/T0uFlK7LVQ"", expanded_url = ""https://twitter.com/NearandDistant/status/1489966667732078593/photo/1"", type = ""photo"", sizes = list(list(w = c(1200, 680, 150, 1200), h = c(1200, 680, 150, 1200), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","Near and Distant","NearandDistant",142,FALSE,"https://twitter.com/NearandDistant/status/1489966667732078593"
2022-02-01 06:01:11,"1488391962218610688","Based on #TidyTuesday, popular dogs are not always the best rated.

Bulldogs seems to be overrated while Portuguese water dogs deserve a better popularity. Labradors deserve their first place (if you're not looking for a watchdog).

#RStats code here: https://t.co/Yvk6bTKkTQ https://t.co/bJzqjl5TjI",7,53,"list(id = 1488391137857527808, id_str = ""1488391137857527809"", indices = list(list(start = 276, end = 299)), media_url = ""http://pbs.twimg.com/media/FKfT2qLWYAEhh2p.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKfT2qLWYAEhh2p.jpg"", url = ""https://t.co/bJzqjl5TjI"", display_url = ""pic.twitter.com/bJzqjl5TjI"", expanded_url = ""https://twitter.com/BjnNowak/status/1488391962218610688/photo/1"", type = ""photo"", sizes = list(list(w = c(1760, 680, 150, 1200), h = c(1084, 419, 150, 739), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","Benjamin Nowak","BjnNowak",1354,FALSE,"https://twitter.com/BjnNowak/status/1488391962218610688"
